site_id,survey_date,pit_tag_id
70628,2021-07-03,982126058790465
70628,2021-07-03,982126058790483
70628,2021-07-03,982126058790488
70628,2021-07-03,982126058790494
70628,2021-07-03,982126058790510
70628,2021-07-03,982126058790538
70628,2021-07-03,982126058790615
70628,2021-07-03,982126058790617
70628,2021-07-03,982126058790626
70628,2021-07-03,982126058790639
70628,2021-07-04,982126058790469
70628,2021-07-04,982126058790484
70628,2021-07-04,982126058790488
70628,2021-07-04,982126058790524
70628,2021-07-04,982126058790527
70628,2021-07-04,982126058790538
70628,2021-07-04,982126058790597
70628,2021-07-04,982126058790613
70628,2021-07-04,982126058790615
70628,2021-07-04,982126058790618
70628,2021-07-04,982126058790626
70628,2021-07-04,982126058790639
70628,2021-07-05,982126058790465
70628,2021-07-05,982126058790483
70628,2021-07-05,982126058790484
70628,2021-07-05,982126058790524
70628,2021-07-05,982126058790538
70628,2021-07-05,982126058790618
70628,2021-07-05,982126058790626
70628,2021-07-05,982126058790639
70628,2021-08-10,982126058790481
70628,2021-08-10,982126058790496
70628,2021-08-10,982126058790524
70628,2021-08-10,982126058790618
70628,2021-08-10,982126058790626
70628,2021-08-10,982126058790639
70628,2021-08-11,982126058790481
70628,2021-08-11,982126058790494
70628,2021-08-11,982126058790510
70628,2021-08-11,982126058790511
70628,2021-08-11,982126058790527
70628,2021-08-11,982126058790617
70628,2021-08-11,982126058790618
70628,2021-08-11,982126058790626
70628,2021-08-12,982126058790465
70628,2021-08-12,982126058790484
70628,2021-08-12,982126058790613
70628,2021-08-12,982126058790618
70628,2021-08-12,982126058790639
