site_id,survey_date,survey_type,primary_period,secondary_period
70505,2008-07-15,translocation,1,0
70505,2008-07-24,cmr,2,1
70505,2008-08-12,cmr,3,1
70505,2008-09-05,cmr,4,1
70505,2008-09-15,cmr,5,1
70505,2009-06-18,cmr,6,1
70505,2009-07-22,cmr,7,1
70505,2009-08-14,cmr,8,1
70505,2009-09-17,cmr,9,1
70505,2010-08-06,cmr,10,1
70505,2011-07-28,cmr,11,1
70505,2012-08-14,cmr,12,1
70505,2012-08-31,cmr,13,1
70505,2012-09-10,cmr,14,1
70505,2013-06-17,cmr,15,1
70505,2013-07-16,translocation,16,0
70505,2013-07-17,cmr,17,1
70505,2013-07-26,cmr,18,1
70505,2013-08-02,cmr,19,1
70505,2013-08-05,cmr,20,1
70505,2013-08-06,cmr,20,2
70505,2013-08-11,cmr,21,1
70505,2013-08-15,cmr,22,1
70505,2013-08-16,cmr,22,2
70505,2013-08-19,cmr,23,1
70505,2013-08-23,cmr,24,1
70505,2013-08-24,cmr,24,2
70505,2013-08-25,cmr,24,3
70505,2013-09-06,cmr,25,1
70505,2013-09-07,cmr,25,2
70505,2013-09-08,cmr,25,3
70505,2014-07-13,cmr,26,1
70505,2014-07-14,cmr,26,2
70505,2014-07-15,cmr,26,3
70505,2014-08-09,cmr,27,1
70505,2014-08-10,cmr,27,2
70505,2014-08-11,cmr,27,3
70505,2014-09-06,cmr,28,1
70505,2014-09-07,cmr,28,2
70505,2014-09-08,cmr,28,3
70505,2015-06-22,cmr,29,1
70505,2015-06-23,cmr,29,2
70505,2015-06-24,cmr,29,3
70505,2015-07-06,translocation,30,0
70505,2015-07-20,cmr,31,1
70505,2015-07-21,cmr,31,2
70505,2015-07-22,cmr,31,3
70505,2015-08-17,cmr,32,1
70505,2015-08-18,cmr,32,2
70505,2015-08-19,cmr,32,3
70505,2016-06-14,cmr,33,1
70505,2016-07-06,cmr,34,1
70505,2016-07-07,cmr,34,2
70505,2016-07-08,cmr,34,3
70505,2016-07-26,cmr,35,1
70505,2016-07-27,cmr,35,2
70505,2016-07-28,cmr,35,3
70505,2017-07-25,cmr,36,1
70505,2017-07-26,cmr,36,2
70505,2017-07-27,cmr,36,3
70505,2017-08-09,translocation,37,0
70505,2017-08-29,cmr,38,1
70505,2017-08-30,cmr,38,2
70505,2017-08-31,cmr,38,3
70505,2018-06-14,cmr,39,1
70505,2018-06-15,cmr,39,2
70505,2018-06-16,cmr,39,3
70505,2018-08-02,cmr,40,1
70505,2018-08-03,cmr,40,2
